,mpg,cylinders,displacement,horsepower,weight,acceleration,model year2,origin,Car name
0,18,8,307,130,3504,12,70,1,chevrolet chevelle malibu
1,15,8,350,165,3693,11,70,1,buick skylark 320
2,18,8,318,150,3436,11,70,1,plymouth satellite 
3,16,8,304,150,3433,12,70,1,amc rebel sst
4,17,8,302,140,3449,10,70,1,ford torino 
5,15,8,429,198,4341,10,70,1,ford galaxie 500
6,14,8,454,220,4354,9,70,1,chevrolet impala 
7,14,8,440,215,4312,8,70,1,plymouth fury iii
8,14,8,455,225,4425,10,70,1,pontiac catalina 
9,15,8,390,190,3850,8,70,1,amc ambassador dpl
10,15,8,383,170,3563,10,70,1,dodge challenger se
11,14,8,340,160,3609,8,70,1,plymouth 'cuda 340
12,15,8,400,150,3761,9,70,1,chevrolet monte carlo
13,14,8,455,225,3086,10,70,1,buick estate wagon
14,24,4,113,95,2372,15,70,3,toyota corona mark
15,22,6,198,95,2833,15,70,1,plymouth duster 
16,18,6,199,97,2774,15,70,1,amc hornet 
17,21,6,200,85,2587,16,70,1,ford maverick 
18,27,4,97,88,2130,14,70,3,datsun pl510 
19,26,4,97,46,1835,20,70,2,volkswagen 1131 deluxe
20,25,4,110,87,2672,17,70,2,peugeot 504 
21,24,4,107,90,2430,14,70,2,audi 100 ls
22,25,4,104,95,2375,17,70,2,saab 99e 
23,26,4,121,113,2234,12,70,2,bmw 2002 
24,21,6,199,90,2648,15,70,1,amc gremlin 
25,10,8,360,215,4615,14,70,1,ford f250 
26,10,8,307,200,4376,15,70,1,chevy c20 
27,11,8,318,210,4382,13,70,1,dodge d200 
28,9,0,8,0,0,18,70,1,hi 1200d 
29,27,4,97,88,2130,14,71,3,datsun pl510 
30,28,4,140,90,2264,15,71,1,chevrolet vega 2300
31,25,4,113,95,2228,14,71,3,toyota corona 
32,25,4,98,0,0,0,19,0,
33,19,6,232,100,2634,13,71,1,amc gremlin 
34,16,6,225,105,3439,15,71,1,plymouth satellite custom
