iter	RMSE
0	0.53051579
1	0.5300357066
2	0.5294777769
3	0.5291258794
4	0.5288602505
5	0.5284431558
6	0.5279801689
7	0.5274226878
8	0.527189343
9	0.5268148494
10	0.5266363205
11	0.5263601164
12	0.5261261053
13	0.5258865786
14	0.5254096453
15	0.5251788988
16	0.5250483692
17	0.5245038767
18	0.5241570349
19	0.5239425949
20	0.5236671268
21	0.5233213856
22	0.5230384648
23	0.5229871092
24	0.5226938567
25	0.5223526328
26	0.5221746631
27	0.5219870999
28	0.5217807222
29	0.5215548115
30	0.521289289
31	0.5210475345
32	0.520849091
33	0.5207345809
34	0.5204245404
35	0.5202564526
36	0.5201653028
37	0.5200656243
38	0.5198616508
39	0.5196625444
40	0.5195047265
41	0.5193385847
42	0.5191387816
43	0.5189214114
44	0.5186985214
45	0.518606721
46	0.5183113832
47	0.5181018427
48	0.51803267
49	0.5176316836
50	0.5175242561
51	0.5174262763
52	0.5171921495
53	0.5168090416
54	0.5166501518
55	0.5163833916
56	0.516120092
57	0.5156196894
58	0.5155569934
59	0.515409399
60	0.5152476807
61	0.5151440042
62	0.5150497872
63	0.5146823148
64	0.5145090664
65	0.5142744275
66	0.5141328157
67	0.5139945673
68	0.5138163301
69	0.5135336271
70	0.513214096
71	0.5130264705
72	0.5128902931
73	0.5127469396
74	0.5124988648
75	0.5122602565
76	0.5120836213
77	0.5118901819
78	0.5115884236
79	0.5111979659
80	0.5109284402
81	0.510776614
82	0.5104268014
83	0.5100777189
84	0.5098113055
85	0.5095672754
86	0.5094221042
87	0.5093250238
88	0.5089524098
89	0.508692051
90	0.5085780348
91	0.50829103
92	0.5081515043
93	0.5077669233
94	0.5075009614
95	0.5073581455
96	0.5071474269
97	0.5071097113
98	0.5067956316
99	0.5064980102
100	0.5061922658
101	0.505775296
102	0.5053275726
103	0.5051018262
104	0.5045209339
105	0.5042188577
106	0.5038473572
107	0.5034588183
108	0.5033044661
109	0.503168219
110	0.5031109148
111	0.5029441318
112	0.502859257
113	0.5027203891
114	0.5024466822
115	0.5021821644
116	0.5020616584
117	0.5017893386
118	0.5016021234
119	0.5012230994
120	0.5007631054
121	0.5004145676
122	0.5002635476
123	0.500022417
124	0.4996326729
125	0.4993069655
126	0.4991194868
127	0.4987940348
128	0.4987694273
129	0.4983647557
130	0.4982310131
131	0.4978088565
132	0.4974989551
133	0.4969606149
134	0.49681211
135	0.4965319644
136	0.4964151324
137	0.4960580272
138	0.4959157253
139	0.4956747123
140	0.4955939734
141	0.4953493794
142	0.4951728779
143	0.4948729469
144	0.4945959225
145	0.4945477287
146	0.4943114302
147	0.4940552832
148	0.4939908266
149	0.4936779234
150	0.4936147523
151	0.4933177691
152	0.4932064898
153	0.4929316354
154	0.4928690369
155	0.4925878387
156	0.4923463664
157	0.4920457323
158	0.4916602032
159	0.4915070099
160	0.4912593371
161	0.4910135345
162	0.4908393026
163	0.4905903543
164	0.4904320462
165	0.4902610477
166	0.490075467
167	0.4898579398
168	0.4897857411
169	0.4895368665
170	0.4893443471
171	0.4892688044
172	0.4890626039
173	0.4888775715
174	0.4886655295
175	0.4886175437
176	0.488530003
177	0.4882824048
178	0.488221552
179	0.4881740472
180	0.4880399742
181	0.487953467
182	0.4879173579
183	0.4876694329
184	0.4873238199
185	0.4870496418
186	0.4868543775
187	0.4866924831
188	0.4865163163
189	0.4864604528
190	0.4861699395
191	0.4860967452
192	0.4858452633
193	0.4858269558
194	0.4854880132
195	0.4853014409
196	0.4851519841
197	0.4849485692
198	0.4849267731
199	0.4847297375
200	0.4846219194
201	0.4845835686
202	0.48447613
203	0.4843361596
204	0.4841945583
205	0.4839822322
206	0.4836860813
207	0.4834213571
208	0.4833927594
209	0.4831880179
210	0.4828460945
211	0.4826728099
212	0.4824781687
213	0.4823033672
214	0.482149729
215	0.4820545944
216	0.4819325483
217	0.4816736002
218	0.4814778023
219	0.481256603
220	0.4811112787
221	0.4808045338
222	0.4806010786
223	0.4803583665
224	0.4803387146
225	0.4801693928
226	0.4799621095
227	0.4799332755
228	0.4798066231
229	0.4796256639
230	0.4795105811
231	0.479341442
232	0.4791434025
233	0.4790663937
234	0.4789643586
235	0.4788893172
236	0.4786857999
237	0.4785095287
238	0.4784087269
239	0.4782870642
240	0.4781120675
241	0.4779396535
242	0.4778504644
243	0.4776221511
244	0.4774426912
245	0.4772683715
246	0.4770760723
247	0.4769260326
248	0.4767890211
249	0.4765958951
250	0.4765340446
251	0.4764615812
252	0.4764116708
253	0.4763883212
254	0.4763003946
255	0.4761832444
256	0.4760944876
257	0.4758946339
258	0.4757629889
259	0.4756839363
260	0.475524213
261	0.4753260756
262	0.4752485059
263	0.4751299724
264	0.4749952829
265	0.474930229
266	0.4749159612
267	0.4748349396
268	0.4747351162
269	0.4745800058
270	0.4745125886
271	0.4743259217
272	0.4741837377
273	0.4740441007
274	0.4739924169
275	0.4738262381
276	0.4737979965
277	0.4737484877
278	0.4736689065
279	0.473592111
280	0.473570094
281	0.4734152751
282	0.4733730555
283	0.4732455162
284	0.4731550095
285	0.4730409095
286	0.472961429
287	0.4729481704
288	0.4729317371
289	0.4727807325
290	0.4726438372
291	0.472625566
292	0.4725469962
293	0.4724891286
294	0.4724084773
295	0.4723855676
296	0.4722918054
297	0.4721861127
298	0.4721410606
299	0.4720255246
