iter	Passed	Remaining
0	1	356
1	2	392
2	3	363
3	4	352
4	5	345
5	6	338
6	7	333
7	9	333
8	10	333
9	11	331
10	12	327
11	13	327
12	14	323
13	15	320
14	16	317
15	17	314
16	18	312
17	19	310
18	20	308
19	21	302
20	22	297
21	23	293
22	24	291
23	25	287
24	25	284
25	26	281
26	27	278
27	28	276
28	29	276
29	30	273
30	31	270
31	32	268
32	32	266
33	33	263
34	34	261
35	35	260
36	36	257
37	37	256
38	37	254
39	38	252
40	39	251
41	40	249
42	41	247
43	42	245
44	43	243
45	43	242
46	44	240
47	45	240
48	46	239
49	47	239
50	48	237
51	49	235
52	50	234
53	51	232
54	51	231
55	52	229
56	53	228
57	54	227
58	55	226
59	56	224
60	56	223
61	57	221
62	58	220
63	59	218
64	60	217
65	61	216
66	61	215
67	62	214
68	63	213
69	64	212
70	65	211
71	66	210
72	67	209
73	68	208
74	69	207
75	70	206
76	70	205
77	71	204
78	72	203
79	73	201
80	74	200
81	75	199
82	76	198
83	77	198
84	78	197
85	79	196
86	79	195
87	80	194
88	81	193
89	82	192
90	83	190
91	83	189
92	84	188
93	85	187
94	86	186
95	87	185
96	88	184
97	89	183
98	90	182
99	90	181
100	92	181
101	92	180
102	93	179
103	94	178
104	95	177
105	96	176
106	96	174
107	97	173
108	98	172
109	99	171
110	100	170
111	100	169
112	101	168
113	102	166
114	102	165
115	103	164
116	104	163
117	105	162
118	106	161
119	107	160
120	107	159
121	108	158
122	109	157
123	110	156
124	111	155
125	112	154
126	113	153
127	113	152
128	114	151
129	115	150
130	116	149
131	116	148
132	117	147
133	118	146
134	119	145
135	119	144
136	120	143
137	121	142
138	122	141
139	123	140
140	123	139
141	126	140
142	127	139
143	127	138
144	128	137
145	129	136
146	130	135
147	131	134
148	131	133
149	132	132
150	133	131
151	134	130
152	135	129
153	136	128
154	136	128
155	137	127
156	138	126
157	139	125
158	140	124
159	141	123
160	142	122
161	142	121
162	143	120
163	144	119
164	145	118
165	146	118
166	147	117
167	147	116
168	148	115
169	149	114
170	150	113
171	151	112
172	151	111
173	152	110
174	153	109
175	153	108
176	154	107
177	155	106
178	156	105
179	157	104
180	157	103
181	158	102
182	159	102
183	160	101
184	161	100
185	162	99
186	162	98
187	163	97
188	164	96
189	165	95
190	166	94
191	167	93
192	167	93
193	168	92
194	169	91
195	170	90
196	171	89
197	171	88
198	172	87
199	173	86
200	174	85
201	174	84
202	175	83
203	176	82
204	177	82
205	178	81
206	178	80
207	179	79
208	180	78
209	181	77
210	181	76
211	182	75
212	183	74
213	184	74
214	184	73
215	185	72
216	186	71
217	187	70
218	187	69
219	188	68
220	189	67
221	190	66
222	190	65
223	191	65
224	192	64
225	193	63
226	193	62
227	194	61
228	195	60
229	196	59
230	197	58
231	197	57
232	198	57
233	199	56
234	200	55
235	200	54
236	201	53
237	202	52
238	203	51
239	204	51
240	205	50
241	205	49
242	206	48
243	207	47
244	208	46
245	209	45
246	209	45
247	210	44
248	211	43
249	212	42
250	212	41
251	213	40
252	214	39
253	215	39
254	216	38
255	216	37
256	217	36
257	218	35
258	219	34
259	219	33
260	220	32
261	221	32
262	222	31
263	223	30
264	223	29
265	224	28
266	225	27
267	226	27
268	227	26
269	227	25
270	228	24
271	229	23
272	229	22
273	230	21
274	231	21
275	232	20
276	233	19
277	233	18
278	235	17
279	235	16
280	236	16
281	237	15
282	238	14
283	239	13
284	239	12
285	240	11
286	241	10
287	242	10
288	243	9
289	244	8
290	244	7
291	245	6
292	246	5
293	247	5
294	247	4
295	248	3
296	249	2
297	250	1
298	250	0
299	251	0
