Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum,Cook_menu,Micro_t,Oven_t,MenuFreq,S1,S2,recent_ct,time,Y
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.0,1440.0,1,0,60,0,18,1440
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.66666666666667,1740.0,2,0,90,0,19,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.66666666666667,1840.0,3,0,90,1040,19,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.66666666666667,1890.0,4,1,4110,0,8,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.621621621621625,1920.0,5,1,4110,80,8,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,32.04545454545455,1915.0,6,0,90,80,19,1890
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,32.0,1915.0,1,0,1890,80,22,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,32.0,1932.857142857143,7,0,305,80,8,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.875,1946.25,8,0,90,0,19,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,31.875,1946.25,2,0,2040,830,9,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,32.30769230769231,1940.0,9,0,30,0,0,1890
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,31.9672131147541,1940.0,3,0,30,730,20,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,31.764705882352942,1940.0,4,0,30,730,9,275
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.764705882352942,1950.0,10,0,275,730,16,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,7,31.935483870967737,1958.1818181818185,11,0,30,0,0,2040
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,17,33.4375,1628.8235294117646,1,0,30,200,23,200
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,26,33.3587786259542,1628.8235294117646,1,0,30,0,18,570
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,26,33.3587786259542,1628.8235294117646,2,0,30,0,18,515
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,14,33.16546762589928,1583.333333333333,1,0,30,0,22,810
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,26,33.16546762589928,1583.333333333333,3,0,30,780,22,570
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,26,33.21917808219178,1583.333333333333,4,0,30,0,18,570
36.0,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14,22,33.163841807909606,1583.333333333333,5,0,90,720,19,275
