DEVICE_ID,Cook_hour,AutoCook_freq,SelfCook_freq,Micro_freq,Oven_freq,Others_freq,Spring_freq,Summer_freq,Fall_freq,Winter_freq,bfB_freq,Breakfast_freq,Lunch_freq,Dinner_freq,afD_freq,Preheat_freq,Clean_freq,Cancle_freq,Restart_freq,MenuSpectrum,ModeSpectrum
id_00000,36,82,999,983,46,52,712,139,230,436,736,179,166,551,174,1,48,363,258,23,14
id_00001,53.3,5,2323,2187,76,65,1584,270,474,840,927,329,1072,747,167,16,5,410,188,9,11
id_00002,60.62,86,756,540,134,168,541,89,212,377,548,131,163,339,204,4,29,194,152,34,16
id_00003,36.57,3,3138,3076,12,53,2205,489,447,968,1381,981,779,1229,134,2,3,360,159,6,10
id_00004,121.95,33,1733,1392,302,72,1220,300,246,636,751,359,656,664,87,2,20,140,120,17,15
id_00005,40.27,99,652,637,47,67,521,114,116,255,379,201,171,306,66,0,25,105,106,16,11
id_00007,19.2,56,849,871,7,27,618,120,167,339,474,191,240,389,85,0,5,111,74,17,12
id_00008,72.78,149,2216,2028,152,185,1593,324,448,778,1187,476,702,883,302,63,126,320,219,19,12
id_00009,125.17,27,579,454,98,54,423,74,109,218,437,65,104,396,41,11,41,272,205,19,13
id_00010,238.68,0,7268,4427,2841,0,4511,1415,1342,1828,3831,314,3123,3356,475,2,535,466,120,2,6
id_00011,23.8,105,572,585,64,28,435,109,133,240,316,251,110,300,16,18,2,131,48,21,14
id_00012,111.85,283,2168,2060,90,301,1739,331,381,917,906,910,635,806,95,0,4,231,126,47,14
id_00013,81.23,22,1457,996,407,76,1014,218,247,431,665,335,479,556,92,120,44,336,582,20,14
id_00014,145.75,418,1292,1194,280,236,1265,123,322,607,857,417,436,613,201,17,38,416,712,46,19
id_00015,84.37,59,337,171,164,61,306,42,48,194,242,30,124,171,71,70,21,125,109,28,21
id_00016,135.32,355,1749,1725,101,278,1321,289,494,742,953,484,667,702,241,18,29,275,274,51,16
id_00017,134.05,28,2921,2632,22,295,2085,339,525,1009,998,1160,791,976,17,7,12,132,77,18,12
id_00018,74.18,134,2551,2468,107,110,1823,397,465,929,1240,707,738,967,236,17,33,912,243,22,13
id_00019,96.65,41,551,115,20,457,343,169,80,157,129,309,154,121,8,8,52,189,385,29,16
id_00020,47.58,37,1810,1755,65,27,1160,267,420,709,777,540,530,655,92,27,13,419,146,13,12
id_00022,73.55,79,4539,4507,44,67,2903,697,1018,1552,1857,1469,1292,1483,351,18,7,524,105,26,11
id_00023,132.23,491,447,147,186,605,638,128,172,276,373,401,164,371,2,64,75,293,453,39,14
id_00024,112.72,189,587,326,154,296,487,125,164,258,258,293,225,229,29,41,70,224,216,43,20
id_00025,48.67,37,1025,905,59,98,796,134,132,367,580,170,312,368,212,7,40,273,247,21,16
id_00028,16.78,0,180,118,62,0,129,17,34,69,69,57,54,64,5,12,1,42,33,2,4
id_00029,67.47,113,1626,1479,93,167,1329,143,267,729,765,583,391,661,100,2,11,137,188,26,14
id_00030,28.1,0,663,600,19,44,398,100,165,214,425,56,182,315,101,18,0,125,95,1,6
id_00031,115.13,106,893,687,54,258,497,220,282,315,639,162,198,344,250,3,35,319,370,43,17
id_00032,30.47,38,379,375,30,12,209,95,113,95,229,81,107,142,78,6,14,71,19,15,12
id_00033,85.82,18,1651,1362,131,176,1283,184,202,687,936,248,485,687,246,90,11,319,150,17,15
id_00034,49.12,32,1045,926,13,138,602,134,341,286,643,189,245,473,166,4,33,337,218,21,12
id_00036,49.07,182,2243,2224,49,152,1691,189,545,1084,1096,354,975,680,406,24,23,500,168,27,12
id_00038,57.52,18,750,676,23,69,510,51,207,322,553,110,105,255,262,4,6,168,160,13,13
id_00041,59.18,30,1623,1596,51,6,1007,328,318,450,845,324,484,589,236,1,8,132,76,12,12
id_00042,153.03,269,632,500,123,278,721,85,95,357,486,120,295,210,176,4,0,148,131,22,10
id_00043,155.6,137,1723,1694,107,59,1122,283,455,617,931,409,520,628,280,0,62,719,204,22,17
id_00046,39.77,65,1344,1285,45,79,952,172,285,584,729,497,183,648,80,14,20,195,137,26,13
id_00048,40.92,7,1119,876,242,8,739,140,247,367,646,313,167,476,168,57,15,449,81,8,9
