DEVICE_ID,EVENT,Cook_Mode,Cook_menu,Cookingtime
id_00000,요리시작,오븐 자동,군고구마,1890
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,오븐 자동,군고구마,1440
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,1890
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,토스트 자동,피자토스트,570
id_00000,요리시작,토스트 자동,피자토스트,515
id_00000,요리시작,레인지 자동,달걀찜,200
id_00000,요리시작,오븐 자동,냉동피자,810
id_00000,요리시작,토스트 자동,피자토스트,570
id_00000,요리시작,토스트 자동,피자토스트,570
id_00000,요리시작,오븐 자동,군고구마,1890
id_00000,요리시작,레인지 자동,감자삶기,780
id_00000,요리시작,최근사용메뉴,군고구마,1440
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,구이 자동,고등어구이,1110
id_00000,요리시작,레인지 자동,냉동밥데우기,150
id_00000,요리시작,구이 자동,가래떡구이,630
id_00000,요리시작,오븐 자동,냉동피자,810
id_00000,요리시작,오븐 자동,냉동피자,810
id_00000,요리시작,건강 튀김 자동,냉동감자,570
id_00000,요리시작,토스트 자동,식빵,292
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,구이 자동,고등어구이,1110
id_00000,요리시작,레인지 자동,달걀찜,290
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,구이 자동,고등어구이,930
id_00000,요리시작,최근사용메뉴,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,2040
id_00000,요리시작,오븐 자동,군고구마,1590
id_00000,요리시작,토스트 자동,마늘빵,660
id_00000,요리시작,오븐 자동,군고구마,1440
id_00000,요리시작,오븐 자동,군고구마,1590
id_00000,요리시작,구이 자동,고등어구이,1110
id_00000,요리시작,토스트 자동,식빵,275
id_00000,요리시작,최근사용메뉴,군고구마,1740
id_00000,요리시작,토스트 자동,식빵,201
id_00000,요리시작,토스트 자동,식빵,174
id_00000,요리시작,오븐 자동,군고구마,1740
id_00000,요리시작,구이 자동,고등어구이,1110
id_00000,요리시작,오븐 자동,군고구마,1890
id_00000,요리시작,최근사용메뉴,군고구마,1740
id_00000,요리시작,최근사용메뉴,군고구마,1590
id_00000,요리시작,오븐 자동,냉동피자,877
id_00000,요리시작,최근사용메뉴,군고구마,1740
id_00001,요리시작,레인지 자동,우유데우기,60
id_00001,요리시작,오븐 자동,군고구마,1440
id_00001,요리시작,오븐 자동,닭다리,856
id_00002,요리시작,건강 튀김 자동,냉동감자,690
id_00002,요리시작,건강 튀김 자동,냉동돈가스,690
id_00002,요리시작,최근사용메뉴,냉동돈가스,690
id_00002,요리시작,건강 튀김 자동,냉동감자,660
id_00002,요리시작,토스트 자동,식빵,275
id_00002,요리시작,원격 자동 요리,냉동너겟,450
id_00002,요리시작,최근사용메뉴,냉동너겟,450
id_00002,요리시작,원격 자동 요리,고등어구이,1110
id_00002,요리시작,건강 튀김 자동,냉동돈가스,690
id_00002,요리시작,건강 튀김 자동,냉동돈가스,750
id_00002,요리시작,건강 튀김 자동,냉동너겟,480
id_00002,요리시작,건강 튀김 자동,냉동너겟,480
id_00002,요리시작,원격 자동 요리,우유데우기,90
